Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
================================================================================
Byte-by-byte Description of file: psjac0156t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 38 A38    ---     Reaction  Reaction
  40- 47 E8.2   ---     alpha     The {alpha} value
  49- 53 A5     ---   u_alpha     alpha units
  55- 59 F5.2   ---     beta      The {beta} value
  61- 67 F7.1   K       Ea        Ea
  69- 89 A21    ---     Ref       Reference (1)
  91- 93 A3     ---     Flag      Flag (2)
--------------------------------------------------------------------------------
Note (1): References --
Cl + CO + M => ClCO + M                1.30E-33 cm6/s -3.8      0.0 Mills1998                 
Cl + CO + M => ClCO + M                3.14E-14 cm3/s -4.8      0.0 Est.                      
Cl + Cl + M => Cl_2 + M                1.40E-32 cm6/s  0.0      0.0 Mills1998                 
Cl + Cl + M => Cl_2 + M                3.38E-13 cm3/s -1.0      0.0 Est.                      
S + O + M => SO + M                    3.01E-33 cm6/s  0.0      0.0 Moses2002                 
S + O + M => SO + M                    7.27E-14 cm3/s -1.0      0.0 Est.                      
Cl + S + M => ClS + M                  1.00E-29 cm6/s -1.0      0.0 Moses2002                 
Cl + S + M => ClS + M                  2.41E-10 cm3/s -2.0      0.0 Est.                      
S + S_3 + M => S_4 + M                 1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S + S_3 + M => S_4 + M                 3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_2 + S_3 + M => S_5 + M               1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S_2 + S_3 + M => S_5 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S + S_4 + M => S_5 + M                 1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S + S_4 + M => S_5 + M                 3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_2 + S_4 + M => S_6 + M               1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S_2 + S_4 + M => S_6 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_3 + S_4 + M => S_7 + M               1.11E-30 cm6/s -2.0      0.0 Moses2002                 
