  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
 43 0.0000E+00 0.0000E+00 0.0000E+00
 44 0.0000E+00 0.0000E+00 0.0000E+00
 45 0.0000E+00 0.0000E+00 0.0000E+00
 46 0.0000E+00 0.0000E+00 0.0000E+00
 47 0.0000E+00 0.0000E+00 0.0000E+00
 48 0.0000E+00 0.0000E+00 0.0000E+00
 49 0.0000E+00 0.0000E+00 0.0000E+00
 50 0.0000E+00 0.0000E+00 0.0000E+00
 51 0.0000E+00 0.0000E+00 0.0000E+00
 52 0.0000E+00 0.0000E+00 0.0000E+00
 53 0.0000E+00 0.0000E+00 0.0000E+00
 54 0.0000E+00 0.0000E+00 0.0000E+00
 55 0.0000E+00 0.0000E+00 0.0000E+00
 56 0.0000E+00 0.0000E+00 0.0000E+00
 57 0.0000E+00 0.0000E+00 0.0000E+00
 58 1.0422E-04 3.4642E-04 2.1086E+04
 59 1.0276E-04 3.4155E-04 2.4381E+04
 60 1.0140E-04 3.3706E-04 2.8002E+04
 61 1.0008E-04 3.3264E-04 3.2096E+04
 62 9.8750E-05 3.2823E-04 3.6757E+04
 63 9.7438E-05 3.2387E-04 4.2038E+04
 64 9.6215E-05 3.1981E-04 4.7876E+04
 65 9.4944E-05 3.1558E-04 5.4539E+04
 66 9.3719E-05 3.1151E-04 6.1932E+04
 67 9.2541E-05 3.0760E-04 7.0101E+04
 68 9.1406E-05 3.0382E-04 7.9108E+04
 69 9.0291E-05 3.0012E-04 8.9106E+04
 70 8.9190E-05 2.9646E-04 1.0022E+05
 71 8.8129E-05 2.9293E-04 1.1239E+05
 72 8.7131E-05 2.8961E-04 1.2544E+05
 73 8.6205E-05 2.8653E-04 1.3926E+05
 74 8.5445E-05 2.8401E-04 1.5277E+05
 75 8.4838E-05 2.8199E-04 1.6569E+05
 76 8.4206E-05 2.7989E-04 1.7967E+05
 77 8.6192E-05 2.8649E-04 1.7738E+05
 78 9.4403E-05 3.1379E-04 1.4270E+05
 79 9.9290E-05 3.3003E-04 1.2936E+05
 80 9.9573E-05 3.3097E-04 1.3492E+05
 81 9.9053E-05 3.2924E-04 1.4368E+05
 82 9.7633E-05 3.2452E-04 1.5660E+05
 83 9.5856E-05 3.1861E-04 1.7176E+05
 84 9.3885E-05 3.1206E-04 1.8850E+05
 85 9.1866E-05 3.0535E-04 2.0586E+05
 86 8.9789E-05 2.9845E-04 2.2359E+05
 87 8.7788E-05 2.9180E-04 2.4021E+05
 88 8.5927E-05 2.8561E-04 2.5438E+05
 89 8.4463E-05 2.8074E-04 2.6277E+05
 90 8.2923E-05 2.7562E-04 2.6872E+05
 91 8.1612E-05 2.7127E-04 2.6851E+05
 92 8.0563E-05 2.6778E-04 2.6101E+05
 93 7.9771E-05 2.6515E-04 2.4558E+05
 94 7.8513E-05 2.6097E-04 2.2937E+05
 95 7.7180E-05 2.5654E-04 2.0675E+05
 96 7.3966E-05 2.4585E-04 1.8955E+05
 97 7.0603E-05 2.3468E-04 1.5891E+05
 98 6.7000E-05 2.2270E-04 1.0891E+05
 99 6.4428E-05 2.1415E-04 2.7316E+04
100 0.0000E+00 0.0000E+00 0.0000E+00

  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
