  i  Z(km)      P(bar)      T(K)  
 31 4.2608E+06 1.3730E+03 2.4170E+02
 32 4.1597E+06 1.5833E+03 2.4268E+02
 33 4.0594E+06 1.8232E+03 2.4280E+02
 34 3.9603E+06 2.0965E+03 2.4210E+02
 35 3.8626E+06 2.4075E+03 2.4069E+02
 36 3.7666E+06 2.7608E+03 2.3871E+02
 37 3.6725E+06 3.1615E+03 2.3628E+02
 38 3.5804E+06 3.6153E+03 2.3353E+02
 39 3.4904E+06 4.1285E+03 2.3056E+02
 40 3.4025E+06 4.7081E+03 2.2743E+02
 41 3.3168E+06 5.3614E+03 2.2421E+02
 42 3.2333E+06 6.0970E+03 2.2097E+02
 43 3.1519E+06 6.9239E+03 2.1775E+02
 44 3.0725E+06 7.8519E+03 2.1464E+02
 45 2.9952E+06 8.8919E+03 2.1170E+02
 46 2.9198E+06 1.0056E+04 2.0901E+02
 47 2.8461E+06 1.1356E+04 2.0660E+02
 48 2.7741E+06 1.2806E+04 2.0448E+02
 49 2.7037E+06 1.4422E+04 2.0265E+02
 50 2.6346E+06 1.6219E+04 2.0110E+02
 51 2.5669E+06 1.8215E+04 1.9980E+02
 52 2.5004E+06 2.0427E+04 1.9872E+02
 53 2.4351E+06 2.2877E+04 1.9786E+02
 54 2.3708E+06 2.5584E+04 1.9719E+02
 55 2.3076E+06 2.8572E+04 1.9670E+02
 56 2.2452E+06 3.1865E+04 1.9639E+02
 57 2.1838E+06 3.5488E+04 1.9625E+02
 58 2.1232E+06 3.9468E+04 1.9629E+02
 59 2.0634E+06 4.3833E+04 1.9650E+02
 60 2.0042E+06 4.8612E+04 1.9690E+02
 61 1.9458E+06 5.3839E+04 1.9742E+02
 62 1.8880E+06 5.9544E+04 1.9805E+02
 63 1.8308E+06 6.5761E+04 1.9871E+02
 64 1.7743E+06 7.2527E+04 1.9959E+02
 65 1.7182E+06 7.9878E+04 2.0087E+02
 66 1.6627E+06 8.7852E+04 2.0169E+02
 67 1.6077E+06 9.6487E+04 2.0304E+02
 68 1.5532E+06 1.0582E+05 2.0411E+02
 69 1.4993E+06 1.1590E+05 2.0516E+02
 70 1.4460E+06 1.2676E+05 2.0612E+02
 71 1.3932E+06 1.3845E+05 2.0717E+02
 72 1.3410E+06 1.5100E+05 2.0844E+02
 73 1.2894E+06 1.6447E+05 2.0956E+02
 74 1.2382E+06 1.7888E+05 2.1125E+02
 75 1.1876E+06 1.9428E+05 2.1312E+02
 76 1.1372E+06 2.1072E+05 2.1543E+02
 77 1.0873E+06 2.2824E+05 2.1773E+02
 78 1.0376E+06 2.4686E+05 2.2068E+02
 79 9.8819E+05 2.6663E+05 2.2361E+02
 80 9.3888E+05 2.8759E+05 2.2792E+02
 81 8.8954E+05 3.0976E+05 2.3256E+02
 82 8.4017E+05 3.3317E+05 2.3709E+02
 83 7.9084E+05 3.5786E+05 2.4150E+02
 84 7.4161E+05 3.8384E+05 2.4572E+02
 85 6.9256E+05 4.1113E+05 2.4975E+02
 86 6.4376E+05 4.3975E+05 2.5355E+02
 87 5.9529E+05 4.6971E+05 2.5712E+02
 88 5.4721E+05 5.0101E+05 2.6047E+02
 89 4.9960E+05 5.3366E+05 2.6359E+02
 90 4.5252E+05 5.6764E+05 2.6651E+02
 91 4.0603E+05 6.0294E+05 2.6925E+02
 92 3.6017E+05 6.3955E+05 2.7181E+02
 93 3.1498E+05 6.7744E+05 2.7438E+02
 94 2.7049E+05 7.1657E+05 2.7691E+02
 95 2.2670E+05 7.5691E+05 2.7934E+02
 96 1.8366E+05 7.9841E+05 2.8164E+02
 97 1.4139E+05 8.4101E+05 2.8384E+02
 98 9.9935E+04 8.8465E+05 2.8593E+02
 99 5.9340E+04 9.2926E+05 2.8793E+02
100 1.9648E+04 9.7477E+05 2.8984E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.2163E-06 2.4411E-06
  2 0.0000E+00 2.2163E-06 2.6611E-06
  3 0.0000E+00 2.2163E-06 2.7820E-06
  4 0.0000E+00 2.2163E-06 2.9188E-06
  5 0.0000E+00 2.2163E-06 3.0166E-06
  6 0.0000E+00 2.2163E-06 3.1187E-06
  7 0.0000E+00 2.2163E-06 3.2217E-06
  8 0.0000E+00 2.2163E-06 3.3381E-06
  9 0.0000E+00 2.2163E-06 3.4512E-06
