  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 97 1.0430E+00 1.3147E+05 5.0238E+06
 98 1.0964E+00 1.2818E+05 4.9243E+06
 99 1.1508E+00 1.2509E+05 4.8307E+06
100 1.2063E+00 1.2229E+05 8.1568E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8006E+08
  2 1.4513E-05 2.7163E+03 4.6262E+08
  3 1.7446E-05 2.7163E+03 4.4209E+08
  4 2.0943E-05 2.7163E+03 4.1784E+08
  5 2.5106E-05 2.7163E+03 3.9131E+08
  6 3.0053E-05 2.7163E+03 3.6452E+08
  7 3.5924E-05 2.7163E+03 3.3896E+08
  8 4.2881E-05 2.7163E+03 3.1533E+08
  9 5.1114E-05 2.7163E+03 2.9383E+08
 10 6.0842E-05 2.7163E+03 2.7433E+08
 11 7.2318E-05 2.7163E+03 2.5661E+08
 12 8.5838E-05 2.7163E+03 2.4043E+08
 13 1.0174E-04 2.7163E+03 2.2558E+08
 14 1.2042E-04 2.7163E+03 2.1190E+08
 15 1.4233E-04 2.7163E+03 1.9925E+08
 16 1.6799E-04 2.7163E+03 1.8754E+08
 17 1.9799E-04 2.7163E+03 1.7667E+08
 18 2.3302E-04 2.7163E+03 1.6655E+08
 19 2.7386E-04 2.7163E+03 1.5715E+08
 20 3.2141E-04 2.7163E+03 1.4840E+08
 21 3.7668E-04 2.7163E+03 1.4026E+08
 22 4.4083E-04 2.7163E+03 1.3271E+08
 23 5.1517E-04 2.7163E+03 1.2568E+08
 24 6.0121E-04 2.7163E+03 1.1912E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6232E+07
 29 1.2740E-03 2.7163E+03 9.1152E+07
 30 1.4742E-03 2.7163E+03 8.6315E+07
 31 1.7035E-03 2.7163E+03 8.1740E+07
 32 1.9657E-03 2.7163E+03 7.7448E+07
 33 2.2649E-03 2.7163E+03 7.3457E+07
 34 2.6061E-03 2.7163E+03 6.9769E+07
 35 2.9945E-03 2.7163E+03 6.6369E+07
 36 3.4358E-03 2.7163E+03 6.3233E+07
 37 3.9366E-03 2.7163E+03 6.0321E+07
 38 4.5041E-03 2.7163E+03 5.7586E+07
 39 5.1461E-03 2.7163E+03 5.5037E+07
 40 5.8713E-03 2.7163E+03 5.2670E+07
 41 6.6892E-03 2.7163E+03 5.0432E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6252E+07
 44 9.8089E-03 2.7163E+03 4.4347E+07
 45 1.1112E-02 2.7163E+03 4.2625E+07
 46 1.2571E-02 2.7163E+03 4.1056E+07
 47 1.4202E-02 2.7163E+03 3.9643E+07
 48 1.6021E-02 2.7163E+03 3.8460E+07
 49 1.8048E-02 2.7163E+03 3.7587E+07
 50 2.0303E-02 2.7163E+03 3.6929E+07
 51 2.2807E-02 2.7163E+03 3.6210E+07
 52 2.5583E-02 3.5510E+03 3.8719E+07
 53 2.8657E-02 6.8025E+03 4.6879E+07
 54 3.2055E-02 1.1513E+04 5.4283E+07
 55 3.5806E-02 1.7169E+04 6.0076E+07
 56 3.9939E-02 2.3590E+04 6.4526E+07
 57 4.4486E-02 3.0548E+04 6.7800E+07
 58 4.9481E-02 3.7738E+04 7.0004E+07
 59 5.4959E-02 4.5118E+04 7.1385E+07
 60 6.0957E-02 5.2718E+04 7.2144E+07
 61 6.7515E-02 6.0582E+04 7.2423E+07
 62 7.4672E-02 6.8662E+04 7.2289E+07
 63 8.2472E-02 7.6770E+04 7.1758E+07
