 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   369

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.652E-04
  3   2.113E-04   5.777E-04
  4   7.510E-05   4.057E-04
  5   4.524E-05   2.891E-04
  6   4.033E-05   2.042E-04
  7   4.005E-05   1.427E-04
  8   4.054E-05   1.004E-04
  9   4.104E-05   7.376E-05
 10   4.158E-05   5.799E-05
 11   4.196E-05   4.922E-05
 12   4.237E-05   4.481E-05
 13   4.280E-05   4.324E-05
 14   4.338E-05   4.338E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.926E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.006E-06
 65   6.225E-06   6.139E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.737E-06
 68   4.143E-06   3.902E-06
 69   3.532E-06   3.341E-06
 70   2.950E-06   3.115E-06
 71   2.671E-06   2.584E-06
 72   2.408E-06   2.136E-06
 73   2.139E-06   1.949E-06
 74   1.948E-06   2.017E-06
 75   1.951E-06   2.031E-06
 76   1.962E-06   2.205E-06
 77   1.975E-06   1.814E-06
 78   2.115E-06   2.378E-06
 79   2.480E-06   4.671E-06
 80   2.784E-06   7.538E-06
 81   3.029E-06   1.083E-05
 82   3.485E-06   1.405E-05
 83   4.313E-06   1.819E-05
 84   4.852E-06   1.964E-05
 85   5.204E-06   2.001E-05
 86   5.623E-06   2.064E-05
 87   6.335E-06   2.210E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.057E-05
101   7.472E-08   1.937E-07
 NST=   370

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.630E-04
  3   2.113E-04   5.797E-04
  4   7.510E-05   4.050E-04
  5   4.523E-05   2.896E-04
  6   4.033E-05   2.034E-04
  7   4.005E-05   1.427E-04
  8   4.054E-05   1.012E-04
  9   4.104E-05   7.376E-05
 10   4.158E-05   5.799E-05
 11   4.197E-05   4.924E-05
 12   4.237E-05   4.487E-05
 13   4.280E-05   4.319E-05
 14   4.338E-05   4.339E-05
 15   4.429E-05   4.472E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.925E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.940E-06
 64   7.078E-06   7.005E-06
 65   6.225E-06   6.139E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.736E-06
 68   4.143E-06   3.901E-06
 69   3.532E-06   3.340E-06
 70   2.950E-06   3.113E-06
 71   2.671E-06   2.582E-06
 72   2.408E-06   2.138E-06
 73   2.139E-06   1.948E-06
 74   1.948E-06   1.981E-06
 75   1.951E-06   2.132E-06
 76   1.962E-06   1.998E-06
 77   1.974E-06   1.926E-06
 78   2.116E-06   2.424E-06
 79   2.479E-06   4.599E-06
 80   2.785E-06   7.942E-06
 81   3.029E-06   1.064E-05
 82   3.485E-06   1.398E-05
 83   4.313E-06   1.814E-05
 84   4.852E-06   1.960E-05
 85   5.204E-06   1.998E-05
 86   5.623E-06   2.062E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.074E-05
 91   6.851E-06   2.060E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.428E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   371

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.797E-04   8.725E-04
  3   2.113E-04   5.764E-04
  4   7.509E-05   4.052E-04
  5   4.523E-05   2.889E-04
  6   4.033E-05   2.036E-04
  7   4.005E-05   1.423E-04
  8   4.054E-05   1.006E-04
  9   4.104E-05   7.390E-05
 10   4.158E-05   5.806E-05
 11   4.196E-05   4.907E-05
 12   4.237E-05   4.498E-05
 13   4.280E-05   4.327E-05
 14   4.338E-05   4.338E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.925E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.005E-06
 65   6.225E-06   6.139E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.736E-06
 68   4.143E-06   3.902E-06
 69   3.532E-06   3.340E-06
 70   2.950E-06   3.113E-06
 71   2.671E-06   2.582E-06
 72   2.408E-06   2.145E-06
 73   2.139E-06   1.919E-06
 74   1.948E-06   2.037E-06
 75   1.951E-06   2.057E-06
 76   1.962E-06   2.067E-06
 77   1.975E-06   2.043E-06
 78   2.116E-06   2.209E-06
 79   2.478E-06   4.563E-06
 80   2.785E-06   8.000E-06
 81   3.029E-06   1.067E-05
 82   3.485E-06   1.400E-05
 83   4.313E-06   1.816E-05
 84   4.852E-06   1.961E-05
 85   5.204E-06   1.999E-05
 86   5.623E-06   2.063E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.428E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   372

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.624E-04
  3   2.113E-04   5.773E-04
  4   7.510E-05   4.063E-04
  5   4.524E-05   2.889E-04
  6   4.033E-05   2.040E-04
  7   4.005E-05   1.429E-04
  8   4.054E-05   1.008E-04
  9   4.104E-05   7.356E-05
 10   4.158E-05   5.810E-05
 11   4.197E-05   4.916E-05
 12   4.237E-05   4.490E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.340E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.926E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.006E-06
 65   6.225E-06   6.139E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.737E-06
 68   4.143E-06   3.903E-06
 69   3.532E-06   3.340E-06
 70   2.950E-06   3.112E-06
 71   2.671E-06   2.591E-06
 72   2.408E-06   2.129E-06
 73   2.139E-06   1.943E-06
 74   1.948E-06   2.022E-06
 75   1.951E-06   2.062E-06
 76   1.962E-06   2.044E-06
 77   1.974E-06   2.139E-06
 78   2.116E-06   2.208E-06
 79   2.478E-06   4.362E-06
 80   2.785E-06   8.069E-06
 81   3.029E-06   1.069E-05
 82   3.485E-06   1.402E-05
 83   4.313E-06   1.817E-05
 84   4.852E-06   1.962E-05
 85   5.204E-06   2.000E-05
 86   5.623E-06   2.063E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   373

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.691E-04
  3   2.113E-04   5.783E-04
  4   7.510E-05   4.056E-04
  5   4.523E-05   2.875E-04
  6   4.033E-05   2.048E-04
  7   4.005E-05   1.421E-04
  8   4.054E-05   1.006E-04
  9   4.104E-05   7.380E-05
 10   4.158E-05   5.805E-05
 11   4.196E-05   4.919E-05
 12   4.237E-05   4.485E-05
 13   4.280E-05   4.325E-05
 14   4.338E-05   4.340E-05
 15   4.429E-05   4.472E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.926E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.006E-06
 65   6.225E-06   6.140E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.737E-06
 68   4.143E-06   3.903E-06
 69   3.532E-06   3.339E-06
 70   2.950E-06   3.117E-06
 71   2.671E-06   2.584E-06
 72   2.408E-06   2.135E-06
 73   2.139E-06   1.944E-06
 74   1.948E-06   2.025E-06
 75   1.951E-06   2.040E-06
 76   1.962E-06   2.064E-06
 77   1.975E-06   2.246E-06
 78   2.116E-06   2.113E-06
 79   2.477E-06   4.247E-06
 80   2.785E-06   8.120E-06
 81   3.029E-06   1.071E-05
 82   3.485E-06   1.403E-05
 83   4.313E-06   1.818E-05
 84   4.852E-06   1.963E-05
 85   5.204E-06   2.000E-05
 86   5.623E-06   2.064E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   374

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.646E-04
  3   2.113E-04   5.763E-04
  4   7.510E-05   4.028E-04
  5   4.524E-05   2.905E-04
  6   4.033E-05   2.046E-04
  7   4.005E-05   1.420E-04
  8   4.054E-05   1.009E-04
  9   4.104E-05   7.380E-05
 10   4.158E-05   5.807E-05
 11   4.197E-05   4.921E-05
 12   4.237E-05   4.485E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.339E-05
 15   4.429E-05   4.472E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.926E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.006E-06
 65   6.225E-06   6.140E-06
 66   5.372E-06   5.437E-06
 67   4.719E-06   4.738E-06
 68   4.143E-06   3.903E-06
 69   3.532E-06   3.342E-06
 70   2.950E-06   3.116E-06
 71   2.671E-06   2.585E-06
 72   2.408E-06   2.137E-06
 73   2.139E-06   1.950E-06
 74   1.948E-06   2.018E-06
 75   1.951E-06   2.032E-06
 76   1.962E-06   2.206E-06
 77   1.975E-06   1.815E-06
 78   2.115E-06   2.379E-06
 79   2.480E-06   4.671E-06
 80   2.784E-06   7.537E-06
 81   3.029E-06   1.083E-05
 82   3.485E-06   1.405E-05
 83   4.313E-06   1.819E-05
 84   4.852E-06   1.964E-05
 85   5.204E-06   2.001E-05
 86   5.623E-06   2.064E-05
 87   6.335E-06   2.210E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.057E-05
101   7.472E-08   1.938E-07
 NST=   375

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.700E-04
  3   2.113E-04   5.781E-04
  4   7.510E-05   4.050E-04
  5   4.523E-05   2.893E-04
  6   4.033E-05   2.040E-04
  7   4.005E-05   1.428E-04
  8   4.054E-05   1.003E-04
  9   4.104E-05   7.385E-05
 10   4.158E-05   5.810E-05
 11   4.197E-05   4.911E-05
 12   4.237E-05   4.482E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.341E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.716E-05
 17   4.736E-05   5.023E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.926E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.006E-06
 65   6.225E-06   6.139E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.737E-06
 68   4.143E-06   3.902E-06
 69   3.532E-06   3.341E-06
 70   2.950E-06   3.114E-06
 71   2.671E-06   2.583E-06
 72   2.408E-06   2.139E-06
 73   2.139E-06   1.949E-06
 74   1.948E-06   1.982E-06
 75   1.951E-06   2.133E-06
 76   1.962E-06   1.999E-06
 77   1.974E-06   1.927E-06
 78   2.116E-06   2.425E-06
 79   2.479E-06   4.599E-06
 80   2.785E-06   7.941E-06
 81   3.029E-06   1.064E-05
 82   3.485E-06   1.398E-05
 83   4.313E-06   1.814E-05
 84   4.852E-06   1.960E-05
 85   5.204E-06   1.998E-05
 86   5.623E-06   2.062E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.074E-05
 91   6.851E-06   2.060E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.428E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.563E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   376

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.601E-04
  3   2.113E-04   5.785E-04
  4   7.510E-05   4.051E-04
  5   4.524E-05   2.904E-04
  6   4.033E-05   2.041E-04
  7   4.005E-05   1.420E-04
  8   4.054E-05   1.010E-04
  9   4.104E-05   7.372E-05
 10   4.158E-05   5.791E-05
 11   4.197E-05   4.918E-05
 12   4.237E-05   4.490E-05
 13   4.280E-05   4.327E-05
 14   4.338E-05   4.338E-05
 15   4.429E-05   4.472E-05
 16   4.562E-05   4.716E-05
 17   4.736E-05   5.024E-05
 18   4.947E-05   5.390E-05
 19   5.200E-05   5.786E-05
 20   5.494E-05   6.211E-05
 21   5.832E-05   6.637E-05
 22   6.210E-05   7.066E-05
 23   6.630E-05   7.474E-05
 24   7.085E-05   7.855E-05
 25   7.576E-05   8.185E-05
 26   8.096E-05   8.446E-05
 27   8.642E-05   8.651E-05
 28   9.186E-05   8.813E-05
 29   9.725E-05   8.954E-05
 30   1.023E-04   9.185E-05
 31   1.066E-04   9.594E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.055E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.396E-05
 37   8.551E-05   8.581E-05
 38   7.763E-05   7.776E-05
 39   6.995E-05   7.017E-05
 40   6.363E-05   6.351E-05
 41   5.734E-05   5.739E-05
 42   5.197E-05   5.188E-05
 43   4.664E-05   4.673E-05
 44   4.182E-05   4.196E-05
 45   3.745E-05   3.749E-05
 46   3.342E-05   3.336E-05
 47   2.991E-05   3.017E-05
 48   2.690E-05   2.701E-05
 49   2.434E-05   2.437E-05
 50   2.219E-05   2.220E-05
 51   2.050E-05   2.044E-05
 52   1.906E-05   1.901E-05
 53   1.781E-05   1.781E-05
 54   1.678E-05   1.676E-05
 55   1.580E-05   1.577E-05
 56   1.482E-05   1.480E-05
 57   1.386E-05   1.383E-05
 58   1.288E-05   1.286E-05
 59   1.187E-05   1.189E-05
 60   1.087E-05   1.091E-05
 61   9.875E-06   9.926E-06
 62   8.882E-06   8.927E-06
 63   7.930E-06   7.941E-06
 64   7.078E-06   7.006E-06
 65   6.225E-06   6.140E-06
 66   5.372E-06   5.436E-06
 67   4.719E-06   4.737E-06
 68   4.143E-06   3.903E-06
 69   3.532E-06   3.341E-06
 70   2.950E-06   3.114E-06
 71   2.671E-06   2.583E-06
 72   2.408E-06   2.146E-06
 73   2.139E-06   1.920E-06
 74   1.948E-06   2.038E-06
 75   1.951E-06   2.058E-06
 76   1.962E-06   2.068E-06
 77   1.975E-06   2.044E-06
 78   2.116E-06   2.209E-06
 79   2.478E-06   4.562E-06
 80   2.785E-06   7.999E-06
 81   3.029E-06   1.067E-05
 82   3.485E-06   1.400E-05
 83   4.313E-06   1.816E-05
 84   4.852E-06   1.961E-05
 85   5.204E-06   1.999E-05
 86   5.623E-06   2.063E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
