Type		STD		Rate at Bottom		Rate at Top
R		443		1.000000e-11		1.000000e-11
R		444		7.595727e-15		6.823127e-17
R		445		3.299832e-11		4.342206e-11
R		446		1.660000e-11		1.660000e-11
R		447		2.190000e-10		2.190000e-10
R		448		6.290000e-10		6.290000e-10
R		449		3.000000e-11		3.000000e-11
R		450		1.130000e-10		1.130000e-10
R		451		7.500000e-12		7.500000e-12
R		452		9.000000e-11		9.000000e-11
R		453		4.200000e-10		4.200000e-10
R		454		1.106100e-10		1.438949e-10
R		455		1.200000e-10		1.200000e-10
R		456		2.200000e-10		2.200000e-10
R		457		4.600000e-11		4.600000e-11
R		458		3.117706e-11		4.009765e-11
R		459		4.953656e-11		5.185559e-11
R		460		7.756805e-11		8.119936e-11
R		461		2.500000e-10		2.500000e-10
R		462		8.500000e-11		8.500000e-11
R		463		3.000000e-10		3.000000e-10
R		464		3.973858e-11		4.506653e-11
R		465		1.200000e-10		1.200000e-10
R		466		1.200000e-10		1.200000e-10
R		467		3.000000e-10		3.000000e-10
R		468		1.660856e-18		4.050027e-21
R		469		3.320000e-14		3.320000e-14
R		470		2.568031e-12		1.552505e-12
R		471		2.530000e-14		2.530000e-14
R		472		9.889059e-18		1.003845e-18
R		473		1.908539e-15		1.226070e-16
R		474		3.800198e-10		5.869065e-10
R		475		1.242466e-14		8.102339e-17
R		477		3.000000e-11		3.000000e-11
R		478		3.000000e-11		3.000000e-11
R		479		4.421491e-23		2.417077e-30
R		480		1.298618e-22		3.098245e-29
R		481		1.910000e-13		1.910000e-13
R		482		1.871840e-16		2.384752e-16
R		483		1.000000e-11		1.000000e-11
R		485		5.000000e-11		5.000000e-11
R		486		5.000000e-11		5.000000e-11
R		487		2.000000e-11		2.000000e-11
R		488		1.351541e-16		2.672747e-19
R		489		1.504975e-11		3.460660e-11
R		490		4.000000e-11		4.000000e-11
R		491		2.341905e-13		2.025521e-14
R		492		3.000000e-11		3.000000e-11
R		493		8.390118e-12		1.116745e-11
R		494		4.000000e-13		4.000000e-13
R		495		9.672986e-22		6.139697e-28
R		496		1.059354e-12		4.306827e-14
R		498		2.728016e-14		2.769228e-15
R		499		3.000000e-11		3.000000e-11
R		500		1.000000e-10		1.000000e-10
R		501		6.092699e-15		1.050432e-16
R		502		9.040639e-13		4.106253e-13
R		503		7.468480e-12		1.180130e-11
R		504		1.690000e-10		1.690000e-10
R		505		1.000000e-10		1.000000e-10
R		506		7.000000e-11		7.000000e-11
R		507		3.410020e-13		3.461535e-14
R		509		9.883307e-15		9.803532e-16
R		512		6.399124e-15		1.041937e-16
R		513		1.689037e-12		1.171335e-12
R		515		2.508021e-22		3.529273e-28
R		516		3.571424e-19		2.245581e-23
R		517		1.190968e-15		2.213992e-17
R		519		1.477299e-11		4.706785e-12
R		520		4.820008e-12		1.975092e-12
R		521		4.693488e-12		1.119493e-11
R		522		1.116997e-10		1.978901e-10
R		523		1.544210e-13		3.043194e-14
R		524		2.000000e-11		2.000000e-11
R		525		7.099708e-14		8.267258e-15
R		526		1.800000e-12		1.800000e-12
R		527		6.600000e-11		6.600000e-11
R		528		8.958495e-11		2.018010e-10
R		533		4.000000e-11		4.000000e-11
R		534		3.943894e-40		3.322776e-60
R		535		6.512353e-11		7.895682e-11
R		536		2.300000e-12		2.300000e-12
R		537		1.200000e-11		1.200000e-11
R		538		2.125030e-14		1.190063e-15
R		540		2.900000e-19		2.900000e-19
R		541		1.400000e-11		1.400000e-11
R		542		7.600000e-17		7.600000e-17
R		543		5.647416e-12		6.945038e-12
R		544		7.649759e-17		5.103974e-19
R		545		8.270115e-14		6.678431e-15
R		546		1.100000e-11		1.100000e-11
R		547		3.071742e-10		5.441978e-10
R		548		4.900000e-12		4.900000e-12
R		549		4.400000e-12		4.400000e-12
R		551		1.823129e-17		1.161111e-22
R		552		1.201958e-31		3.779114e-45
R		553		3.468137e-26		6.366654e-36
R		554		5.099681e-14		5.921951e-16
R		555		3.082537e-35		2.159386e-50
R		556		7.303413e-34		4.890860e-48
R		557		2.000000e-15		2.000000e-15
R		558		1.690000e-15		1.690000e-15
R		559		3.500000e-15		3.500000e-15
R		560		2.160000e-11		2.160000e-11
R		561		3.000000e-11		3.000000e-11
R		562		1.000000e-16		1.000000e-16
R		563		4.000000e-12		4.000000e-12
R		564		7.000000e-14		7.000000e-14
R		565		1.200000e-15		1.200000e-15
R		566		1.000000e-11		1.000000e-11
R		567		1.000000e-11		1.000000e-11
R		568		6.336154e-26		7.774996e-28
R		569		5.000000e-11		5.000000e-11
R		570		1.500000e-11		1.500000e-11
R		571		1.500000e-11		1.500000e-11
R		572		1.000000e-20		1.000000e-20
R		573		8.610185e-12		1.525403e-11
R		574		1.116997e-10		1.978901e-10
R		575		7.290000e-11		7.290000e-11
