Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.10e+12

  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	5.974259e-01
  R472	O3	+ CH3O2		= CH3O	+ O2	+ O2	5.229138e-01 (x2)
  P9	NO3			= NO	+ O2		3.622432e-01
  R469	O3	+ C2H5		= C2H5O	+ O2		1.169759e-01
  R443	O	+ NO3		= NO2	+ O2		1.118090e-01
  R459	O(1D)	+ N2O		= O2	+ N2		9.360753e-02
  R354	NO	+ O3		= NO2	+ O2		2.578793e-02
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	5.802035e-03
  T6	NO3			= NO	+ O2		5.096760e-04
  R462	O(1D)	+ NO		= O2	+ N		1.255166e-05
  R440	O	+ HNO4		= HNO3	+ O2		7.820608e-06
  R294	N	+ O3		= NO	+ O2		2.492181e-06
  R258	HO2	+ NH2		= NH3	+ O2		9.642306e-07
  R384	NO3	+ CH3O2		= CH3O	+ NO2	+ O2	9.100266e-07
  R377	NO2	+ O3		= NO3	+ O2		3.481893e-07
  R156	H	+ CH3O2		= CH4	+ O2		1.961846e-07
  R463	O(1D)	+ NO2		= O2	+ NO		1.216193e-08
  R432	O	+ CNO		= CN	+ O2		6.600448e-15
  R244	HO2	+ C2H2		= C2H3	+ O2		5.769600e-15
  T2	HO2			= O2	+ H		1.050051e-15
  R376	NO2	+ NO3		= NO	+ NO2	+ O2	6.190899e-17
  R537	S	+ O3		= O2	+ SO		7.863573e-19
  R545	SO	+ O3		= SO2	+ O2		7.528805e-19
  R570	S	+ HO2		= HS	+ O2		7.703454e-20
  R387	NO3	+ NO3		= NO2	+ NO2	+ O2	4.712660e-21
  R269	HS	+ O3		= O2	+ HSO		1.095478e-22
  R271	HSO	+ O3		= HS	+ O2	+ O2	6.406881e-23 (x2)
  R216	HSO	+ O3		= HOSO	+ O2		2.745806e-23
  R551	SO2	+ HO2		= HOSO	+ O2		1.097584e-23
