Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       264.84899     0.010478521
       264.98444      0.18980166
       265.19613    0.0064342806
       266.00000     0.031017015
       266.36777       1.0464055
       266.46777     0.066573287
       266.89448     0.061362070
       266.93139     0.043122110
       266.94130     0.048797773
       266.97073     0.026619507
       266.97163     0.024911507
       266.98064     0.016360629
       266.98681     0.023702819
       267.03056     0.053051785
       267.05232     0.014574713
       267.12445      0.50640735
       267.19003     0.012885462
       267.64280     0.037696411
       267.87129     0.039255454
       268.45047     0.077571109
       268.62511      0.13598782
       269.17583      0.50524264
       269.27583      0.26079544
       269.33204      0.20979735
       269.43204      0.16757144
       269.46168      0.19902150
       269.56168      0.15076482
       270.00000       6.2834766
       270.73543      0.49113400
       270.75670       2.2090218
       270.83543       4.2697259
       270.85670      0.48417237
       270.99390      0.17868990
       271.71047     0.034268887
       271.73744     0.095741450
       271.81047     0.032166218
       271.83744     0.031304012
       271.98983     0.035180337
       272.07619     0.032923045
       272.12706     0.037549140
       272.17268     0.029552893
       272.17609     0.028846957
       272.17894     0.028536454
       272.27265     0.049704991
       272.27894     0.028099591
       272.31009     0.045092052
       272.44938     0.079762728
       273.00788      0.18672394
       273.13956     0.021697016
       273.69974    0.0070404432
       273.93996     0.036551062
       274.00000     0.021807205
       274.45097     0.021359939
       274.46600    0.0075805375
       274.55502     0.022516454
       274.65502     0.022080047
       274.93238     0.045750938
       275.10513     0.023784827
       275.28236     0.010774571
       275.36815      0.35465003
       275.51457     0.031673788
       276.16696     0.038823975
       276.17321     0.039246416
       276.19274     0.053592004
       276.35134      0.13365955
       276.40032     0.072110748
       276.42735      0.11373654
       276.69054       280.54336
       276.73747      0.21892734
       276.74238      0.19792470
       276.94563     0.053161840
       277.14957      0.52917583
       277.23325     0.038994199
       277.38566     0.035710835
       277.44389     0.036232642
       277.50955     0.050038007
       277.57006     0.035875668
       277.62678     0.036711320
       277.94663     0.038106582
       278.00000      0.43691806
       278.11198     0.070941440
       278.14957     0.038886602
       278.24469     0.041438116
       278.34219     0.042894341
       278.37000     0.045624698
       278.37186     0.045477858
       278.43667      0.11537189
       278.47000     0.051274331
       278.47186     0.050769163
       278.47451     0.049396935
       278.48677     0.029315682
       278.53620     0.051392530
       278.78784      0.11173777
       278.97022     0.061432756
       279.42062     0.048394945
       279.46755     0.048450694
       279.63088     0.013458604
       279.78793     0.019529899
       279.93295     0.016826741
       279.99730     0.075787922
       280.02395     0.029826342
       280.10904     0.027158139
       280.23373     0.062101201
       280.26055     0.093605205
       280.32264      0.32374271
       280.39731       756.83290
       280.40807       22.521639
       280.47438      0.17096216
       281.69189       147.23125
       282.00000     0.070745692
       282.06318     0.066069345
       282.20200      0.14411195
       282.21275      0.10032288
       282.22072     0.063767589
       282.71005      0.12265916
       283.39635     0.084996296
       283.41731     0.075439708
       283.46495       32.930627
       283.46800       24.490632
       283.57395     0.054575786
       283.58071     0.065478693
       283.58376     0.073046599
       283.77561     0.086079552
       284.38370      0.10752266
       284.51186     0.097252327
       284.92561      0.10392021
       285.07848      0.10715193
       285.34765      0.11264191
       285.45379       1374.0420
       285.55379      0.11566448
       285.55902      0.13228177
       285.71029      0.36157634
       285.74433      0.11950883
       285.83352      0.12145069
       285.85738     0.049158656
       285.94053      0.20811338
       285.99996     0.049476617
       286.00000     0.049510806
       286.04053      0.12516993
       286.04468      0.12595053
       286.14964      0.12876564
       286.34629      0.13283117
       286.57907      0.15441874
       286.67300      0.13702506
       286.67907      0.13746749
       287.18244      0.15406359
       287.34212      0.14431119
       287.37031      0.14464386
       287.41405      0.14608311
       287.46090      0.14801305
       287.47031      0.14821768
       287.54322      0.14931382
       287.69296      0.15438319
       287.87057       1.9151377
       287.97057      0.24997697
       288.19119       3.3783139
       288.29119       3.1017015
       288.31123      0.17100153
       288.33163      0.17179084
       288.43163      0.17410049
       288.44540      0.17494438
       288.54540      0.17930814
       288.55698      0.17922558
       288.59984       10.921945
       288.60735       6.5222884
       288.65028       372.39171
       288.69984      0.18306276
       288.70735      0.18335806
       288.72492      0.18352701
       288.75028      0.18450154
       288.82492       2.1822274
       288.82673       2.6810197
       288.92673      0.19058995
       289.06638      0.19669803
       289.09496      0.19629082
       289.11494       3.3075011
       289.14094      0.28144919
       289.18642       3.8672300
       289.20563       1.5342637
       289.22766      0.34482600
       289.23100      0.30352887
       289.23183      0.28940098
       289.29200      0.20407979
       289.30563      0.20577850
       289.30615      0.20601555
       289.33183      0.20440899
       289.46878      0.21125160
       289.46953      0.21203131
       289.47674      0.21183611
       289.52292      0.20859313
       289.59024      0.22115665
       289.68093      0.21953309
       289.71701       1.7330057
       289.75103      0.22080047
       289.81701      0.22376904
       289.85103      0.22724796
       289.85196      0.22740500
       289.87036      0.22698649
       289.89700      0.22667311
       289.90877      0.22698649
       289.93314      0.22866516
       290.00000      0.23110003
       290.03826      0.23949696
       290.09152      0.22892857
       290.10112      0.23944182
       290.14724      0.23878113
       290.14926      0.23900116
       290.19345      0.24071325
       290.20112      0.24076868
       290.27307      0.26595000
       290.29345      0.24940204
       290.30896      0.25739494
       290.38981      0.25562304
       290.49981      0.26133646
       290.57832      0.31746803
       290.64153       361.40986
       290.66168      0.29689303
       290.73858      0.31325643
       290.74153      0.31253596
       290.74951      0.29744043
       290.84951      0.28880187
       290.89894      0.32568668
       290.98451      0.36584742
       291.01974      0.43974408
       291.18694       1.1191802
       291.22993       1.4371431
       291.36604       12531.412
       291.46285       6338.6971
       291.47296       1059.2537
       291.55190       1.1937132
       291.61644      0.52820195
       291.63642      0.60575917
       291.80075      0.50594115
       291.83515      0.41831169
       291.87872      0.35546758
       291.90986      0.35925267
       291.97872      0.35107508
       292.03910      0.36593167
       292.15497      0.37618372
       292.18630      0.36049563
       292.30219      0.32734069
       292.31621      0.35253318
       292.35167      0.40625620
       292.39857      0.38027695
       292.40542      0.38681205
       292.40920      0.38806100
       292.43896       2.6073540
       292.44238       3.1304012
       292.47446      0.38672300
       292.49857      0.38725764
       292.50542      0.38886602
       292.51604      0.39165169
       292.59067      0.34442923
       292.59161      0.34617843
       292.59863       2.0384497
       292.69412      0.47940217
       292.73353      0.78000969
       292.92596       2.0244171
       293.04364       323.59366
       293.06795       7.5127684
       293.16795       6.2086903
       293.17234       5.4387613
       293.21816       2.3035625
       293.29384       1.4187308
       293.38074      0.86556562
       293.39340      0.73113908
       293.48751      0.68928686
       293.52900      0.49283325
       293.54989      0.51250723
       293.62900      0.47228048
       293.72552      0.51832243
       293.74287      0.47446043
       293.80569      0.48150411
       293.82037      0.47719952
       293.88150      0.56571800
       293.96461      0.40142092
       293.97023      0.46131757
       294.00000      0.46526459
       294.03921      0.48150411
       294.11507      0.47785925
       294.21507      0.47741933
       294.26244      0.42983324
       294.33693      0.45321054
       294.51628      0.40253162
       294.64402       1.0452014
       294.66824      0.50153356
       294.74259      0.51868059
       294.75258      0.52023552
       294.84983      0.50874482
       294.96045      0.83387317
       294.97055      0.53641387
       295.01510      0.49328737
       295.04234      0.53186327
       295.06367      0.54237542
       295.14789      0.55004725
       295.26231      0.56402714
       295.36077      0.57003300
       295.41944       1.0614511
       295.51209      0.16649454
       295.51944      0.18706821
       295.56015      0.58830156
       295.60550      0.59101704
       295.63373      0.58479008
       295.65838      0.59799837
       295.66712      0.59979108
       295.70226       3.9084090
       295.71600       3.4705635
       295.73165      0.60492286
       295.87129       8.2110746
       295.88005      0.62101201
       295.92190      0.62459715
       295.94245      0.34857802
       295.94782      0.41860075
       295.96829      0.63008625
       296.06829      0.63620928
       296.09381      0.64357624
       296.10486      0.63576995
       296.31702      0.65811229
       296.57304      0.69342581
