Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       261.97769     0.067779756
       262.00000     0.066619290
       262.07845     0.070161683
       262.11054      0.22630805
       262.17845     0.070080953
       262.40571     0.065614527
       262.47504     0.088348667
       262.54255      0.20379804
       262.54678      0.15581168
       262.57504       7.7072598
       262.61670     0.099953959
       262.62104     0.073603760
       262.64255     0.063386971
       262.82867     0.049567841
       262.88095      0.29437437
       263.44942     0.079707649
       263.69420      0.13620718
       263.72709      0.21256903
       263.77292     0.093432937
       263.81704      0.29464563
       263.86139      0.80500764
       264.25815      0.10413579
       264.32511      0.10459237
       264.33721      0.39210285
       264.34571      0.24456821
       264.47214      0.15062602
       264.48064      0.25089962
       264.84899      0.22074964
       264.98444       2.3035625
       265.19613     0.095719407
       266.00000      0.15892785
       266.36777       5.6963937
       266.46777      0.58708367
       266.89448      0.71170497
       266.93139      0.33620177
       266.94130      0.44761023
       266.97073      0.37870409
       266.97163      0.36008083
       266.98064      0.24176866
       266.98681      0.37983939
       267.03056      0.74662065
       267.05232      0.25905978
       267.12445       4.7076048
       267.19003      0.20535250
       267.64280      0.51392530
       267.87129      0.47206304
       268.45047      0.88023777
       268.62511       1.4604947
       269.17583       5.1499143
       269.27583       2.4660393
       269.33204       1.9111730
       269.43204       1.4427796
       269.46168       1.8437414
       269.56168       1.2479581
       270.00000       65.237904
       270.73543       4.6935343
       270.75670       23.631974
       270.83543       44.218092
       270.85670       4.6206173
       270.99390       1.3118978
       271.71047      0.27428370
       271.73744       1.0411181
       271.81047      0.24378108
       271.83744      0.23648304
       271.98983      0.25858302
       272.07619      0.23702819
       272.12706      0.26296624
       272.17268      0.20281497
       272.17609      0.20174371
       272.17894      0.19801587
       272.27265      0.44004795
       272.27894      0.19076557
       272.31009      0.37342209
       272.44938      0.26996036
       273.00788       2.1577444
       273.13956     0.097050997
       273.69974     0.071713348
       273.93996     0.092427243
       274.00000     0.065192855
       274.45097     0.083272193
       274.46600     0.063343200
       274.55502      0.10430377
       274.65502     0.087377578
       274.93238      0.12915166
       275.10513     0.091033240
       275.28236      0.14351589
       275.36815       3.8725764
       275.51457      0.48707967
       276.16696      0.24632018
       276.17321      0.24378108
       276.19274      0.61319697
       276.35134       1.3633269
       276.40032      0.80909590
       276.42735       1.1738159
       276.69054       3013.0060
       276.73747       2.4132371
       276.74238       2.1587383
       276.94563      0.35091344
       277.14957       5.6990176
       277.23325      0.17827892
       277.38566      0.58532894
       277.44389      0.28827037
       277.50955      0.20753913
       277.57006      0.12933022
       277.62678      0.11392001
       277.94663      0.11005252
       278.00000       4.5362815
       278.11198      0.52941958
       278.14957      0.13076755
       278.24469      0.13605046
       278.34219      0.17922558
       278.37000      0.20634787
       278.37186      0.20183664
       278.43667       1.1186649
       278.47000      0.26205956
       278.47186      0.25995609
       278.47451      0.26290570
       278.48677      0.25686208
       278.53620      0.45019431
       278.78784       1.0575478
       278.97022      0.36551062
       279.42062      0.12661933
       279.46755      0.14903902
       279.63088      0.17123794
       279.78793      0.22615177
       279.93295      0.20431488
       279.99730      0.42150235
       280.02395      0.41419037
       280.10904      0.36635321
       280.23373      0.73552934
       280.26055       1.1646623
       280.32264       3.4546177
       280.39731       7961.5935
       280.40807       228.03421
       280.47438       1.9028300
       281.69189       1599.5580
       282.00000      0.20314213
       282.06318      0.82224265
       282.20200       1.7382010
       282.21275       1.0092529
       282.22072      0.18819150
       282.71005      0.31275193
       283.39635      0.29525686
       283.41731      0.22197292
       283.46495       349.94517
       283.46800       258.22602
       283.57395      0.12811501
       283.58071      0.14328476
       283.58376      0.16379476
       283.77561      0.21747032
       284.38370      0.42775983
       284.51186      0.25368804
       284.92561      0.30005440
       285.07848      0.30924309
       285.34765      0.32225525
       285.45379       14825.181
       285.55379      0.35310186
       285.55902      0.55988651
       285.71029       3.0450891
       285.74433      0.36576319
       285.83352      0.37454155
       285.85738      0.34930114
       285.94053       1.4002320
       285.99996      0.46956963
       286.00000      0.46946152
       286.04053      0.36855304
       286.04468      0.36366374
       286.14964      0.39783226
       286.34629      0.41744571
       286.57907      0.67344169
       286.67300      0.37428291
       286.67907      0.40916643
       287.18244      0.61333818
       287.34212      0.36576319
       287.37031      0.49476617
       287.41405      0.49876963
       287.46090      0.49374192
       287.47031      0.51297949
       287.54322      0.47065210
       287.69296      0.52227592
       287.87057       19.462562
       287.97057       1.5878154
       288.19119       35.042897
       288.29119       31.878656
       288.31123      0.61446903
       288.33163      0.61730529
       288.43163      0.63299459
       288.44540      0.63459990
       288.54540      0.66420173
       288.55698      0.57517500
       288.59984       115.87774
       288.60735       68.092613
       288.65028       4055.0854
       288.69984      0.67561612
       288.70735      0.67592732
       288.72492      0.67889092
       288.75028      0.76753820
       288.82492       21.612251
       288.82673       26.767019
       288.92673      0.71713348
       289.06638      0.73282453
       289.09496      0.63620928
       289.11494       27.497930
       289.14094      0.92875251
       289.18642       35.842641
       289.20563       15.167011
       289.22766       1.0399202
       289.23100      0.98220016
       289.23183      0.96917008
       289.29200      0.79946600
       289.30563      0.71137730
       289.30615      0.71121351
       289.33183      0.79086071
       289.46878      0.82965971
       289.46953      0.82775154
       289.47674      0.80537844
       289.52292      0.58803070
       289.59024      0.94232345
       289.68093      0.85842034
       289.71701       17.278260
       289.75103      0.88838251
       289.81701      0.90115604
       289.85103      0.83656560
       289.85196      0.83502600
       289.87036      0.93089350
       289.89700      0.92618981
       289.90877      0.92682982
       289.93314      0.93454453
       290.00000      0.93389919
       290.03826      0.89392277
